-1 + - * / ( ) 常数 #
0 -1 s5 -1 -1 s7 -1 -1 -1
1 s8 s9 -1 -1 -1 -1 -1 ACC
2 r4 r4 s10 s11 -1 r4 -1 r4
3 r7 r7 r7 r7 -1 r7 -1 r7
4 r8 r8 r8 r8 -1 r8 -1 r8
5 -1 -1 -1 -1 s17 -1 -1 -1
6 r10 r10 r10 r10 -1 r10 -1 r10
7 -1 s5 -1 -1 s7 -1 s6 -1
8 -1 s5 -1 -1 s7 -1 s6 -1
9 -1 s5 -1 -1 s7 -1 s6 -1
10 -1 s5 -1 -1 s7 -1 s6 -1
11 -1 s5 -1 -1 s7 -1 s6 -1
12 r2 r2 s10 s11 -1 r2 -1 r2
13 r3 r3 s10 s11 -1 r3 -1 r3
14 r5 r5 r5 r5 -1 r5 -1 s5
15 r6 r6 r6 r6 -1 r6 -1 r6
16 -1 s5 -1 -1 -1 -1 s6 -1
17 s8 s9 -1 -1 -1 r20 -1 -1
18 -1 -1 -1 -1 -1 r19 -1 -1
19 r9 r9 r9 r9 -1 r9 -1 r9
20 r11 r11 r11 r11 -1 r11 -1 r11
